[2018-10-08T11:57:13.039] [INFO] default - [10.3.135.10 GET / 200 2307ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.058] [INFO] default - [10.3.135.10 GET /www/css/base-fa7f8158cc.css 200 13ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.064] [INFO] default - [10.3.135.10 GET /www/css/index-6ffb15d628.css 200 16ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.086] [INFO] default - [10.3.135.10 GET /www/js/xframe-min-1-fac093c236.0.js 200 38ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.101] [INFO] default - [10.3.135.10 GET /www/js/base-0a5a745a5f.js 200 52ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.104] [INFO] default - [10.3.135.10 GET /www/images/logo-e5eaf9963c.png 200 54ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.113] [INFO] default - [10.3.135.10 GET /www/images/weixin-d81945581f.jpg 200 60ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.485] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 200 4ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:13.903] [INFO] default - [10.3.135.10 GET /www/favicon.ico 200 47ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:21.521] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 200 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:57:25.548] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 200 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:57:29.480] [INFO] default - [10.3.135.10 GET /www/images/big3-b966ef5b19.jpg 200 6ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1]
[2018-10-08T11:57:33.506] [INFO] default - [10.3.135.10 GET /www/images/big4-8b61392485.jpg 200 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:37.548] [INFO] default - [10.3.135.10 GET /www/images/big5-d969b56f32.jpg 200 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:41.389] [INFO] default - [10.3.135.10 POST /index/1 200 35ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:41.457] [INFO] default - [10.3.135.10 GET /www/images/big6-e78496e82e.jpg 200 6ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:43.899] [INFO] default - [10.3.135.10 POST /index/1 200 5ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:45.143] [INFO] default - [10.3.135.10 POST /index/1 200 63ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:45.462] [INFO] default - [10.3.135.10 GET /www/images/big7-022d4be85e.jpg 200 8ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:49.460] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 304 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:53.455] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:57:57.602] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 304 11ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T11:58:01.463] [INFO] default - [10.3.135.10 GET /www/images/big3-b966ef5b19.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
